,Esta es una base de datos que describe las operaciones inmobiliarias de una empresa,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
54,54,2004-01-22 00:00:00,Suelo,Alquiler,Barcelona,71,686996,2004-05-30 00:00:00,Luisa
55,55,2004-01-22 00:00:00,Local,Venta,Girona,127,983234,2004-07-09 00:00:00,Carmen
56,56,2004-01-23 00:00:00,Piso,Venta,Lleida,54,239220,2004-05-01 00:00:00,María
57,57,2004-01-23 00:00:00,Oficina,Alquiler,Lleida,54,512730,2004-07-04 00:00:00,Carmen
58,58,2004-01-24 00:00:00,Local,Alquiler,Girona,274,2287626,2004-12-21 00:00:00,María
59,59,2004-01-24 00:00:00,Industrial,Venta,Tarragona,166,1373816,2004-11-19 00:00:00,Joaquín
60,60,2004-01-24 00:00:00,Oficina,Alquiler,Lleida,270,1920240,2004-06-28 00:00:00,Jesús
61,61,2004-01-24 00:00:00,Casa,Venta,Tarragona,120,1140840,2004-09-12 00:00:00,Carmen
62,62,2004-01-24 00:00:00,Industrial,Venta,Tarragona,178,1142938,2005-01-23 00:00:00,Joaquín
63,63,2004-01-25 00:00:00,Piso,Venta,Barcelona,144,738144,2004-09-06 00:00:00,Luisa
64,64,2004-01-26 00:00:00,Industrial,Venta,Lleida,57,509010,2004-10-13 00:00:00,María
65,65,2004-01-26 00:00:00,Oficina,Venta,Tarragona,144,1436832,2004-05-26 00:00:00,Luisa
66,66,2004-01-27 00:00:00,Suelo,Venta,Lleida,272,2119424,2004-12-24 00:00:00,Pedro
67,67,2004-01-27 00:00:00,Industrial,Alquiler,Barcelona,219,948927,2004-10-15 00:00:00,Jesús
68,68,2004-01-27 00:00:00,Local,Alquiler,Barcelona,68,376992,2004-06-28 00:00:00,Luisa
69,69,2004-01-27 00:00:00,Local,Venta,Girona,248,2212408,2004-10-09 00:00:00,María
70,70,2004-01-28 00:00:00,Casa,Alquiler,Tarragona,179,1647695,2004-07-12 00:00:00,María
71,71,2004-01-28 00:00:00,Casa,Venta,Girona,235,1939925,2004-11-01 00:00:00,Carmen
72,72,2004-01-28 00:00:00,Suelo,Venta,Tarragona,216,1478952,2004-10-15 00:00:00,Carmen
73,73,2004-01-28 00:00:00,Parking,Alquiler,Barcelona,62,320044,2004-09-04 00:00:00,Joaquín
74,74,2004-01-29 00:00:00,Industrial,Venta,Girona,229,1098055,2004-10-22 00:00:00,Joaquín
75,75,2004-01-29 00:00:00,Suelo,Venta,Tarragona,41,187862,2004-08-14 00:00:00,Jesús
76,76,2004-01-29 00:00:00,Suelo,Alquiler,Tarragona,234,1757106,2004-12-28 00:00:00,Pedro
77,77,2004-01-30 00:00:00,Industrial,Alquiler,Tarragona,112,1104992,2004-06-25 00:00:00,Pedro
78,78,2004-01-31 00:00:00,Piso,Venta,Lleida,87,448485,2004-10-04 00:00:00,María
79,79,2004-01-31 00:00:00,Parking,Venta,Barcelona,298,2520484,2004-11-27 00:00:00,Carmen
80,80,2004-01-31 00:00:00,Parking,Alquiler,Barcelona,217,1339107,2004-10-05 00:00:00,Carmen
81,81,2004-02-01 00:00:00,Industrial,Alquiler,Barcelona,236,1812244,2004-11-17 00:00:00,Pedro
82,82,2004-02-02 00:00:00,Parking,Venta,Girona,117,1069731,2004-09-14 00:00:00,Pedro
83,83,2004-02-02 00:00:00,Suelo,Venta,Lleida,56,471072,2004-05-29 00:00:00,María
84,84,2004-02-02 00:00:00,Piso,Venta,Barcelona,94,470940,2004-07-28 00:00:00,Carmen
85,85,2004-02-02 00:00:00,Local,Alquiler,Barcelona,127,925322,2004-06-03 00:00:00,Joaquín
86,86,2004-02-03 00:00:00,Piso,Venta,Girona,275,2141700,2005-01-08 00:00:00,Jesús
87,87,2004-02-03 00:00:00,Industrial,Alquiler,Barcelona,93,778875,2004-05-12 00:00:00,Luisa
88,88,2004-02-03 00:00:00,Parking,Alquiler,Tarragona,58,421196,2004-10-10 00:00:00,Pedro
89,89,2004-02-04 00:00:00,Local,Alquiler,Barcelona,49,219716,2004-09-27 00:00:00,Jesús
90,90,2004-02-04 00:00:00,Suelo,Venta,Girona,292,2685816,2004-07-24 00:00:00,Pedro
91,91,2004-02-04 00:00:00,Industrial,Alquiler,Barcelona,123,723609,2004-12-16 00:00:00,Joaquín
92,92,2004-02-05 00:00:00,Piso,Alquiler,Barcelona,48,388032,2004-05-06 00:00:00,Jesús
93,93,2004-02-05 00:00:00,Industrial,Alquiler,Tarragona,132,922020,2004-10-23 00:00:00,Joaquín
94,94,2004-02-06 00:00:00,Industrial,Alquiler,Barcelona,177,965358,2004-06-08 00:00:00,Luisa
95,95,2004-02-06 00:00:00,Local,Venta,Barcelona,68,663816,2004-05-23 00:00:00,Joaquín
96,96,2004-02-07 00:00:00,Industrial,Alquiler,Tarragona,103,728931,2005-02-05 00:00:00,Jesús
97,97,2004-02-07 00:00:00,Suelo,Venta,Tarragona,96,625536,2004-11-07 00:00:00,Jesús
98,98,2004-02-07 00:00:00,Casa,Venta,Lleida,227,1467782,2005-02-01 00:00:00,Carmen
99,99,2004-02-07 00:00:00,Industrial,Alquiler,Girona,251,2067236,2004-12-22 00:00:00,María
100,100,2004-02-08 00:00:00,Local,Alquiler,Tarragona,125,531375,2004-06-23 00:00:00,Jesús
101,101,2004-02-08 00:00:00,Suelo,Alquiler,Girona,162,710694,2004-09-27 00:00:00,María
102,102,2004-02-08 00:00:00,Local,Venta,Barcelona,45,438435,2004-05-23 00:00:00,Luisa
103,103,2004-02-08 00:00:00,Casa,Alquiler,Girona,258,1188090,2004-07-19 00:00:00,María
104,104,2004-02-09 00:00:00,Oficina,Venta,Tarragona,104,699400,2004-07-14 00:00:00,Luisa
105,105,2004-02-10 00:00:00,Piso,Alquiler,Girona,238,1854496,2005-02-02 00:00:00,Luisa
106,106,2004-02-10 00:00:00,Piso,Alquiler,Lleida,300,2105700,2005-01-26 00:00:00,Pedro
107,107,2004-02-10 00:00:00,Suelo,Alquiler,Girona,222,1791318,2004-12-13 00:00:00,Jesús
108,108,2004-02-12 00:00:00,Suelo,Alquiler,Tarragona,187,1782297,2004-12-20 00:00:00,Joaquín
109,109,2004-02-12 00:00:00,Suelo,Alquiler,Barcelona,300,1528200,2004-08-09 00:00:00,Pedro
110,110,2004-02-12 00:00:00,Parking,Venta,Barcelona,206,1587642,2004-12-20 00:00:00,Luisa
111,111,2004-02-13 00:00:00,Suelo,Alquiler,Tarragona,162,954666,2004-11-25 00:00:00,Joaquín
112,112,2004-02-13 00:00:00,Local,Alquiler,Lleida,160,1064800,2004-09-22 00:00:00,Pedro
113,113,2004-02-13 00:00:00,Suelo,Alquiler,Barcelona,89,887241,2005-01-02 00:00:00,Luisa
114,114,2004-02-14 00:00:00,Suelo,Venta,Girona,103,806799,2005-01-11 00:00:00,Joaquín
115,115,2004-02-14 00:00:00,Industrial,Venta,Tarragona,54,438750,2004-08-15 00:00:00,Carmen
116,116,2004-02-15 00:00:00,Parking,Venta,Girona,103,973659,2005-01-04 00:00:00,Jesús
117,117,2004-02-15 00:00:00,Oficina,Venta,Girona,274,1724008,2004-09-26 00:00:00,Joaquín
118,118,2004-02-15 00:00:00,Oficina,Venta,Girona,253,2047276,2004-09-10 00:00:00,Luisa
119,119,2004-02-16 00:00:00,Parking,Venta,Lleida,51,307989,2004-07-06 00:00:00,Pedro
120,120,2004-02-16 00:00:00,Piso,Venta,Tarragona,174,973878,2004-12-13 00:00:00,Jesús
121,121,2004-02-17 00:00:00,Parking,Venta,Barcelona,152,688864,2004-12-06 00:00:00,Jesús
122,122,2004-02-17 00:00:00,Casa,Alquiler,Barcelona,270,1385910,2005-02-05 00:00:00,Pedro
123,123,2004-02-17 00:00:00,Local,Alquiler,Girona,179,1461356,2004-07-30 00:00:00,Pedro
124,124,2004-02-18 00:00:00,Suelo,Alquiler,Tarragona,212,926228,2004-09-05 00:00:00,Joaquín
125,125,2004-02-19 00:00:00,Industrial,Venta,Girona,118,1067192,2004-08-25 00:00:00,Carmen
126,126,2004-02-19 00:00:00,Industrial,Venta,Tarragona,194,1373132,2004-08-31 00:00:00,María
127,127,2004-02-20 00:00:00,Industrial,Venta,Barcelona,139,1087119,2004-05-29 00:00:00,Jesús
128,128,2004-02-20 00:00:00,Casa,Venta,Tarragona,130,1230190,2005-01-04 00:00:00,Luisa
129,129,2004-02-21 00:00:00,Parking,Alquiler,Lleida,206,1363926,2005-01-08 00:00:00,Carmen
130,130,2004-02-21 00:00:00,Oficina,Venta,Tarragona,216,1389096,2004-11-23 00:00:00,Luisa
131,131,2004-02-21 00:00:00,Local,Venta,Lleida,55,477345,2004-09-04 00:00:00,Carmen
132,132,2004-02-21 00:00:00,Oficina,Venta,Tarragona,190,1268630,2004-12-04 00:00:00,Jesús
133,133,2004-02-22 00:00:00,Suelo,Alquiler,Tarragona,62,391964,2004-11-14 00:00:00,Pedro
134,134,2004-02-22 00:00:00,Oficina,Alquiler,Tarragona,275,1765225,2005-02-20 00:00:00,Joaquín
135,135,2004-02-22 00:00:00,Local,Venta,Lleida,45,229455,2004-10-05 00:00:00,Jesús
136,136,2004-02-23 00:00:00,Oficina,Alquiler,Lleida,105,624435,2004-06-24 00:00:00,Joaquín
137,137,2004-02-23 00:00:00,Casa,Venta,Barcelona,119,686154,2005-01-19 00:00:00,Pedro
138,138,2004-02-24 00:00:00,Industrial,Venta,Girona,88,678480,2004-12-28 00:00:00,Luisa
139,139,2004-02-26 00:00:00,Local,Alquiler,Tarragona,63,533925,2004-09-22 00:00:00,Joaquín
140,140,2004-02-26 00:00:00,Piso,Venta,Barcelona,222,1076034,2004-06-02 00:00:00,María
141,141,2004-02-27 00:00:00,Suelo,Venta,Barcelona,47,455477,2004-12-31 00:00:00,Joaquín
142,142,2004-02-27 00:00:00,Oficina,Venta,Tarragona,123,1128156,2004-09-23 00:00:00,Pedro
143,143,2004-02-27 00:00:00,Oficina,Alquiler,Tarragona,134,1310520,2004-12-28 00:00:00,María
144,144,2004-02-28 00:00:00,Parking,Alquiler,Barcelona,121,782870,2004-11-19 00:00:00,Pedro
145,145,2004-02-28 00:00:00,Piso,Venta,Girona,50,315550,2004-10-14 00:00:00,Pedro
146,146,2004-02-28 00:00:00,Parking,Venta,Girona,274,2028970,2004-08-20 00:00:00,Luisa
147,147,2004-02-28 00:00:00,Parking,Alquiler,Barcelona,76,734388,2004-05-28 00:00:00,Joaquín
148,148,2004-02-28 00:00:00,Local,Venta,Barcelona,109,779241,2004-05-30 00:00:00,María
149,149,2004-02-29 00:00:00,Piso,Venta,Lleida,249,1492506,2005-02-12 00:00:00,Luisa
150,150,2004-03-01 00:00:00,Casa,Alquiler,Lleida,212,1800516,2004-12-19 00:00:00,Jesús
151,151,2004-03-01 00:00:00,Oficina,Alquiler,Lleida,128,1259904,2004-10-02 00:00:00,Luisa
152,152,2004-03-02 00:00:00,Oficina,Venta,Tarragona,172,1063648,2005-02-13 00:00:00,María
153,153,2004-03-02 00:00:00,Piso,Venta,Lleida,68,434656,2004-07-13 00:00:00,María
154,154,2004-03-02 00:00:00,Industrial,Alquiler,Lleida,52,508924,2004-09-03 00:00:00,Pedro
155,155,2004-03-03 00:00:00,Suelo,Alquiler,Girona,185,1403595,2004-10-02 00:00:00,Pedro
156,156,2004-03-03 00:00:00,Casa,Venta,Girona,284,1561432,2004-07-01 00:00:00,Pedro
157,157,2004-03-03 00:00:00,Oficina,Venta,Tarragona,202,1891932,2004-10-02 00:00:00,María
158,158,2004-03-03 00:00:00,Casa,Alquiler,Lleida,100,731700,2004-10-10 00:00:00,Luisa
159,159,2004-03-04 00:00:00,Local,Venta,Lleida,106,563178,2004-08-01 00:00:00,Pedro
160,160,2004-03-04 00:00:00,Casa,Venta,Tarragona,211,875228,2004-07-23 00:00:00,María
161,161,2004-03-04 00:00:00,Suelo,Venta,Tarragona,165,1305480,2004-07-29 00:00:00,Jesús
162,162,2004-03-05 00:00:00,Piso,Alquiler,Lleida,251,1361675,2004-08-16 00:00:00,Jesús
163,163,2004-03-05 00:00:00,Local,Venta,Tarragona,266,1161090,2004-11-23 00:00:00,Carmen
164,164,2004-03-05 00:00:00,Oficina,Alquiler,Girona,287,1395681,2004-09-13 00:00:00,Carmen
165,165,2004-03-05 00:00:00,Industrial,Venta,Tarragona,104,1001104,2004-10-11 00:00:00,Luisa
166,166,2004-03-06 00:00:00,Oficina,Venta,Tarragona,250,2275500,2004-07-29 00:00:00,Luisa
167,167,2004-03-06 00:00:00,Parking,Venta,Girona,169,1370759,2005-01-14 00:00:00,Luisa
168,168,2004-03-06 00:00:00,Suelo,Venta,Lleida,221,1842035,2004-10-15 00:00:00,Joaquín
169,169,2004-03-07 00:00:00,Industrial,Alquiler,Barcelona,286,2080078,2004-07-14 00:00:00,Jesús
170,170,2004-03-08 00:00:00,Suelo,Alquiler,Lleida,73,597286,2005-02-20 00:00:00,Joaquín
171,171,2004-03-08 00:00:00,Suelo,Venta,Girona,144,1358640,2004-11-13 00:00:00,Joaquín
172,172,2004-03-08 00:00:00,Piso,Alquiler,Tarragona,108,558252,2004-10-19 00:00:00,María
173,173,2004-03-09 00:00:00,Oficina,Venta,Girona,268,2400476,2005-03-08 00:00:00,Joaquín
174,174,2004-03-09 00:00:00,Piso,Alquiler,Lleida,143,1131416,2004-08-25 00:00:00,Joaquín
175,175,2004-03-10 00:00:00,Local,Venta,Barcelona,52,416936,2004-08-25 00:00:00,Carmen
176,176,2004-03-10 00:00:00,Industrial,Alquiler,Lleida,193,1658835,2004-08-30 00:00:00,Jesús
177,177,2004-03-11 00:00:00,Suelo,Venta,Tarragona,148,1431012,2004-09-01 00:00:00,Jesús
178,178,2004-03-11 00:00:00,Local,Venta,Tarragona,118,513300,2004-10-26 00:00:00,María
179,179,2004-03-12 00:00:00,Industrial,Venta,Barcelona,156,848328,2005-02-27 00:00:00,Jesús
180,180,2004-03-12 00:00:00,Suelo,Alquiler,Tarragona,201,1874928,2004-06-21 00:00:00,Jesús
181,181,2004-03-12 00:00:00,Oficina,Venta,Tarragona,42,367584,2004-08-11 00:00:00,Joaquín
182,182,2004-03-13 00:00:00,Local,Alquiler,Tarragona,162,1323054,2004-08-25 00:00:00,Joaquín
183,183,2004-03-14 00:00:00,Local,Alquiler,Girona,231,1446522,2004-09-02 00:00:00,Carmen
184,184,2004-03-14 00:00:00,Suelo,Venta,Tarragona,273,1447992,2004-10-24 00:00:00,Pedro
185,185,2004-03-15 00:00:00,Industrial,Venta,Barcelona,265,2109930,2004-08-27 00:00:00,María
186,186,2004-03-16 00:00:00,Casa,Alquiler,Girona,87,779868,2004-10-23 00:00:00,Jesús
187,187,2004-03-16 00:00:00,Local,Alquiler,Barcelona,95,919030,2004-12-10 00:00:00,María
188,188,2004-03-16 00:00:00,Casa,Venta,Lleida,63,537264,2005-02-08 00:00:00,Carmen
189,189,2004-03-17 00:00:00,Parking,Venta,Girona,160,1261600,2004-10-25 00:00:00,Jesús
190,190,2004-03-17 00:00:00,Parking,Alquiler,Lleida,95,448210,2004-10-25 00:00:00,Pedro
191,191,2004-03-18 00:00:00,Suelo,Alquiler,Tarragona,71,431325,2004-07-23 00:00:00,Carmen
192,192,2004-03-18 00:00:00,Local,Venta,Girona,56,553616,2005-03-09 00:00:00,Pedro
193,193,2004-03-18 00:00:00,Suelo,Venta,Tarragona,59,453651,2004-10-07 00:00:00,María
194,194,2004-03-19 00:00:00,Local,Alquiler,Girona,117,986895,2004-09-14 00:00:00,Pedro
195,195,2004-03-19 00:00:00,Piso,Venta,Girona,62,250852,2004-07-21 00:00:00,Carmen
196,196,2004-03-20 00:00:00,Piso,Alquiler,Barcelona,281,1336717,2004-11-10 00:00:00,Carmen
197,197,2004-03-20 00:00:00,Piso,Venta,Tarragona,87,519738,2005-01-13 00:00:00,Carmen
198,198,2004-03-21 00:00:00,Oficina,Alquiler,Girona,174,720882,2004-08-14 00:00:00,Pedro
199,199,2004-03-21 00:00:00,Oficina,Venta,Lleida,177,842343,2005-03-10 00:00:00,María
200,200,2004-03-22 00:00:00,Parking,Venta,Tarragona,281,2108343,2004-09-26 00:00:00,Pedro
201,201,2004-03-22 00:00:00,Parking,Venta,Girona,247,1050985,2004-11-09 00:00:00,Pedro
202,202,2004-03-22 00:00:00,Piso,Alquiler,Girona,52,298272,2004-08-13 00:00:00,María
203,203,2004-03-22 00:00:00,Local,Alquiler,Girona,169,902798,2004-07-16 00:00:00,Luisa
204,204,2004-03-23 00:00:00,Local,Alquiler,Barcelona,106,692180,2004-11-09 00:00:00,Luisa
205,205,2004-03-23 00:00:00,Local,Venta,Girona,274,2002392,2004-12-04 00:00:00,Luisa
206,206,2004-03-23 00:00:00,Piso,Alquiler,Lleida,250,2253500,2005-02-21 00:00:00,Joaquín
207,207,2004-03-23 00:00:00,Piso,Alquiler,Lleida,134,1338124,2004-08-19 00:00:00,Luisa
208,208,2004-03-23 00:00:00,Casa,Venta,Lleida,156,1369680,2004-09-27 00:00:00,Pedro
209,209,2004-03-24 00:00:00,Parking,Venta,Lleida,167,1643948,2004-09-21 00:00:00,María
210,210,2004-03-24 00:00:00,Oficina,Alquiler,Lleida,206,1297594,2005-03-03 00:00:00,Carmen
211,211,2004-03-25 00:00:00,Parking,Alquiler,Barcelona,269,2134246,2004-08-11 00:00:00,Carmen
212,212,2004-03-25 00:00:00,Casa,Alquiler,Barcelona,63,492156,2004-10-25 00:00:00,Carmen
213,213,2004-03-26 00:00:00,Suelo,Alquiler,Lleida,223,1932518,2005-01-19 00:00:00,Pedro
214,214,2004-03-26 00:00:00,Industrial,Venta,Girona,163,1385011,2004-08-26 00:00:00,Carmen
215,215,2004-03-27 00:00:00,Parking,Alquiler,Girona,214,1219158,2004-07-13 00:00:00,Pedro
216,216,2004-03-27 00:00:00,Industrial,Venta,Tarragona,263,1494892,2005-02-02 00:00:00,María
217,217,2004-03-28 00:00:00,Industrial,Alquiler,Lleida,216,1398600,2004-11-03 00:00:00,Luisa
218,218,2004-03-29 00:00:00,Suelo,Alquiler,Tarragona,65,461435,2004-12-31 00:00:00,Carmen
219,219,2004-03-29 00:00:00,Industrial,Alquiler,Girona,46,351256,2005-03-28 00:00:00,Luisa
220,220,2004-03-30 00:00:00,Industrial,Alquiler,Lleida,209,1042283,2004-09-17 00:00:00,Jesús
221,221,2004-03-30 00:00:00,Casa,Alquiler,Barcelona,56,474600,2004-08-27 00:00:00,Pedro
222,222,2004-03-30 00:00:00,Local,Alquiler,Girona,82,420660,2004-10-02 00:00:00,María
223,223,2004-03-31 00:00:00,Suelo,Alquiler,Girona,62,489924,2004-09-09 00:00:00,Luisa
224,224,2004-03-31 00:00:00,Oficina,Venta,Tarragona,192,1032000,2004-08-21 00:00:00,Luisa
225,225,2004-04-01 00:00:00,Parking,Alquiler,Barcelona,152,1069320,2004-12-15 00:00:00,Jesús
226,226,2004-04-01 00:00:00,Local,Alquiler,Tarragona,182,1133132,2004-08-29 00:00:00,Joaquín
227,227,2004-04-01 00:00:00,Casa,Venta,Lleida,179,1670965,2004-09-09 00:00:00,Luisa
228,228,2004-04-01 00:00:00,Local,Venta,Girona,211,2010619,2004-11-12 00:00:00,Jesús
229,229,2004-04-01 00:00:00,Oficina,Venta,Tarragona,117,739206,2005-01-25 00:00:00,Carmen
230,230,2004-04-02 00:00:00,Oficina,Alquiler,Tarragona,186,1382166,2005-03-01 00:00:00,Pedro
231,231,2004-04-03 00:00:00,Local,Alquiler,Barcelona,143,665951,2005-02-18 00:00:00,Pedro
232,232,2004-04-03 00:00:00,Oficina,Venta,Tarragona,212,1479548,2004-11-03 00:00:00,María
233,233,2004-04-03 00:00:00,Local,Alquiler,Girona,246,1362348,2004-10-05 00:00:00,Joaquín
234,234,2004-04-03 00:00:00,Suelo,Venta,Girona,230,1722700,2005-03-26 00:00:00,Carmen
235,235,2004-04-03 00:00:00,Suelo,Venta,Lleida,126,848358,2004-11-02 00:00:00,Pedro
236,236,2004-04-03 00:00:00,Industrial,Venta,Girona,226,2104286,2004-08-26 00:00:00,Carmen
237,237,2004-04-05 00:00:00,Piso,Venta,Tarragona,262,1748850,2004-10-07 00:00:00,Pedro
238,238,2004-04-05 00:00:00,Casa,Alquiler,Barcelona,170,995520,2005-02-01 00:00:00,Jesús
239,239,2004-04-05 00:00:00,Piso,Alquiler,Lleida,268,2338032,2005-01-02 00:00:00,Pedro
240,240,2004-04-06 00:00:00,Parking,Venta,Barcelona,164,1298716,2004-12-03 00:00:00,Luisa
241,241,2004-04-06 00:00:00,Local,Venta,Lleida,260,2038660,2004-07-26 00:00:00,Carmen
242,242,2004-04-07 00:00:00,Suelo,Venta,Barcelona,69,656535,2004-08-16 00:00:00,Jesús
243,243,2004-04-07 00:00:00,Local,Venta,Lleida,298,1870546,2005-03-31 00:00:00,Luisa
244,244,2004-04-07 00:00:00,Local,Alquiler,Tarragona,284,1431076,2004-12-22 00:00:00,María
245,245,2004-04-08 00:00:00,Casa,Venta,Barcelona,239,1176597,2004-07-07 00:00:00,Joaquín
246,246,2004-04-09 00:00:00,Local,Venta,Girona,287,1936102,2005-04-08 00:00:00,Jesús
247,247,2004-04-09 00:00:00,Industrial,Alquiler,Barcelona,159,1582527,2004-12-09 00:00:00,Jesús
248,248,2004-04-09 00:00:00,Suelo,Alquiler,Girona,136,873120,2004-12-26 00:00:00,Pedro
249,249,2004-04-09 00:00:00,Industrial,Venta,Tarragona,223,2026401,2004-12-13 00:00:00,Joaquín
250,250,2004-04-09 00:00:00,Piso,Alquiler,Lleida,175,747075,2005-02-01 00:00:00,Pedro
